value,frequency,weight
"to","5262","7129298"
"in","3922","5648417"
"a","2292","3975586"
"not","2233","3891414"
"of","1670","3605540"
"the","1999","3307118"
"How","2434","3043622"
"is","1591","2984433"
"with","1986","2630500"
"for","1153","2324061"
"Cannot","633","1842962"
"on","1341","1736926"
"and","1267","1674784"
"error","955","1626125"
"-","1028","1596079"
"read","446","1548138"
"TypeError:","419","1493543"
"undefined","394","1449987"
"properties","367","1441234"
"(reading","309","1368471"
"use","447","1356314"
"I","803","1353241"
"from","977","1324028"
"Error","425","1219960"
"when","731","1078487"
"was","159","1071483"
"using","868","1038427"
"or","515","975892"
"version","337","960887"
"an","635","908994"
"be","445","891485"
"access","149","887895"
"token","134","857844"
"instead","71","802157"
"Please","34","768883"
"authentication","50","752438"
"React","471","730775"
"password","33","720480"
"Error:","309","691590"
"personal","7","687144"
"removed.","3","664177"
"has","330","663926"
"module","345","663668"
"Support","11","660923"
"file","427","655386"
"can","363","654222"
"no","288","629251"
"Android","363","605730"
"The","285","589262"
"type","424","556849"
"does","357","550502"
"import","187","510242"
"cannot","244","508306"
"install","307","501814"
"resolve","169","484964"
"error:","257","483103"
"do","331","482331"
"get","379","475375"
"find","283","468182"
"are","183","461283"
"as","291","448443"
"build","243","442441"
"Why","260","441787"
"while","247","440491"
"how","309","438039"
"failed","285","432388"
"by","253","428743"
"found","247","415895"
"Java","121","406652"
"working","328","400619"
"this","243","400437"
"app","248","390581"
"but","277","390117"
"Python","269","381468"
"after","303","380273"
"Module","101","369444"
"it","268","361943"
"Unable","204","352609"
"fix","151","342563"
"Uncaught","129","342537"
"code","203","342319"
"envelope","9","338749"
"object","218","335620"
"message","87","335205"
"Can't","152","324619"
"No","216","322570"
"supported","63","320280"
"Flutter","265","320216"
"iOS","151","320013"
":","205","318361"
"value","252","316650"
"function","256","315313"
"Studio","205","315271"
"only","143","313226"
"must","121","312579"
"name","153","304362"
"npm","143","303599"
"my","227","302533"
"attribute","130","298190"
"run","229","297729"
"that","202","297581"
"Log4j","33","294977"
"data","275","293768"
"load","139","293133"
"create","204","292288"
"running","169","288959"
"Failed","154","287525"
"server","188","284666"
"specified","58","281758"
"update","144","273195"
"set","218","271312"
"project","178","268348"
"have","161","267110"
"native","62","266870"
"API","237","266490"
"'id')","4","266026"
"Could","172","263739"
"which","92","263118"
"What","162","261420"
"at","178","257429"
"property","158","246830"
"'map')","19","246769"
"component","147","246499"
"Angular","173","245763"
"new","141","240536"
"null","169","238956"
"command","139","238802"
"Google","166","235692"
"""error:0308010C:digital","1","235141"
"routines::unsupported""","1","235141"
"deprecated","59","234810"
"Spring","160","233315"
"<Route>","13","228853"
"defined","92","223621"
"ES","31","222333"
"Is","141","219624"
"react","153","215339"
"trying","125","215020"
"Visual","126","214721"
"×","7","212650"
"doesn't","147","211541"
"issue","100","206734"
"AttributeError:","70","204891"
"found:","59","203163"
"You","58","201630"
"used","83","201139"
"class","134","200044"
"argument","109","197749"
"multiple","177","195347"
"""The","29","193987"
"minCompileSdk","8","190913"
"15","78","190402"
"log4j","69","189035"
"6","90","188684"
"python","164","188494"
"Docker","126","188244"
"can't","145","187954"
"(31)","6","187844"
"Getting","103","187297"
"vulnerability","31","186899"
"required","77","186708"
"getting","108","183443"
"dependency's","7","183293"
"start","96","179642"
"Jetpack","165","177615"
"without","136","176586"
"any","99","176100"
"certificate","91","173794"
"12","117","172101"
"Xcode","82","170995"
"Node.js","28","168958"
"add","139","167361"
"connect","123","166488"
"package","104","165824"
"ERROR","49","165188"
"App","111","164781"
"SSL","57","164463"
"array","148","164238"
"default","89","163728"
"AAR","7","162686"
"been","86","162404"
"fails","95","160461"
"work","134","159530"
"change","138","159114"
".NET","105","158673"
"flutter","146","158034"
"Compose","144","157970"
"Gradle","71","157879"
"A","52","157240"
"docker","119","156879"
"5","109","156826"
"user","103","155354"
"between","109","154931"
"image","144","153990"
"connection","105","152752"
"Azure","185","150295"
"<Routes>","8","150131"
"unable","84","149615"
"custom","145","149591"
"will","54","148643"
"named","90","148385"
"one","123","147684"
"string","109","147529"
"files","118","147513"
"should","75","146893"
"failing","57","146508"
"3","101","146174"
"Kotlin?","4","145956"
"path","87","145338"
"client","71","145144"
"all","120","144596"
"export","53","144548"
"AWS","151","143867"
